[1418, AA-LEC, 6.5 Wk 1, MoWe 2:45PM - 5:15PM, FG B050 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[2180, BBBN-TUT, 13 Wk, Tu 8:30PM - 10:10PM, H 400-2 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2181, BBBO-TUT, 13 Wk, Fr 5:45PM - 7:25PM, MB 2.265 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2182, BBBP-TUT, 13 Wk, Fr 4:15PM - 5:55PM, MB S1.105 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2179, BBBQ-TUT, 13 Wk, Th 5:45PM - 7:25PM, MB S2.445 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2089, EE-LEC, 13 Wk, Tu 5:45PM - 8:15PM, H 507 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2088, EEEN-TUT, 13 Wk, Mo 4:15PM - 5:55PM, MB 2.265 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2087, EEEO-TUT, 13 Wk, Th 4:15PM - 5:55PM, MB S1.105 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2086, EEEP-TUT, 13 Wk, Fr 4:15PM - 5:55PM, MB 2.255 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2085, EEEQ-TUT, 13 Wk, Tu 8:30PM - 10:10PM, H 400-2 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5205, WW-LEC, 13 Wk, Tu 5:45PM - 8:15PM, H 411 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5206, WWWA-TUT, 13 Wk, Tu 8:30PM - 10:10PM, H 529 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5207, WWWB-TUT, 13 Wk, Fr 5:45PM - 7:25PM, MB S2.445 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5208, WWWC-TUT, 13 Wk, Th 5:45PM - 7:25PM, MB 2.255 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5209, WWWD-TUT, 13 Wk, Tu 8:30PM - 10:10PM, H 437 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2082, Y-LEC, 13 Wk, TuTh 2:45PM - 4:00PM, H 411 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2083, Y YA-TUT, 13 Wk, Fr 4:15PM - 5:55PM, MB 2.265 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2084, Y YB-TUT, 13 Wk, Tu 4:15PM - 5:55PM, H 529 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2091, Y YC-TUT, 13 Wk, Mo 4:15PM - 5:55PM, MB S1.105 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2090, Y YD-TUT, 13 Wk, Fr 4:15PM - 5:55PM, MB S1.105 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7298, Z-LEC, 13 Wk, Mo 2:45PM - 5:15PM, H 507 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7299, Z ZA-TUT, 13 Wk, Tu 4:15PM - 5:55PM, MB 2.255 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7300, Z ZB-TUT, 13 Wk, We 4:15PM - 5:55PM, MB 2.265 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7301, Z ZC-TUT, 13 Wk, Th 4:15PM - 5:55PM, MB S1.255 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[7302, Z ZD-TUT, 13 Wk, Fr 4:15PM - 5:55PM, MB S1.255 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[3226, AA-LEC, 6.5 Wk 1, MoWe 2:45PM - 5:30PM, MB S1.115 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[2184, FF-LEC, 13 Wk, Mo 5:45PM - 8:15PM, H 535 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2092, WW-LEC, 13 Wk, Th 5:45PM - 8:15PM, H 420 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[3558, CC-LEC, 6.5 Wk 2, TuTh 5:45PM - 8:15PM, H 654 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[2185, D-LEC, 13 Wk, Tu 5:45PM - 8:15PM, H 654 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[5416, W-LEC, 13 Wk, Tu 5:45PM - 8:30PM, FG B050 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5571, DD-LEC, 13 Wk, Th 2:45PM - 5:30PM, H 509 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[1464, IE-LEC, 13 Wk, TBA, TBA, Staff, 05/06/2019 - 08/12/2019, Summer 2019]
[2226, IE-LEC, 13 Wk, TBA, TBA, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6004, IE-LEC, 13 Wk, TBA, TBA, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1469, BL-LEC, 6.5 Wk 1, TBA, ONLINE, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1465, BL B-TUT, 6.5 Wk 1, We 8:45AM - 9:35AM, H 427 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1466, BL C-TUT, 6.5 Wk 1, We 10:15AM - 11:05AM, H 427 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1467, BL D-TUT, 6.5 Wk 1, Fr 1:15PM - 2:05PM, H 427 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1468, BL E-TUT, 6.5 Wk 1, Fr 2:45PM - 3:35PM, H 427 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3224, BL F-TUT, 6.5 Wk 1, Mo 10:15AM - 11:05AM, H 427 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3225, BL G-TUT, 6.5 Wk 1, Mo 1:15PM - 2:05PM, H 427 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[2230, BL-LEC, 13 Wk, TBA, ONLINE, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2231, BL A-TUT, 13 Wk, We 8:45AM - 9:35AM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2227, BL B-TUT, 13 Wk, We 8:45AM - 9:35AM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2233, BL C-TUT, 13 Wk, Fr 4:15PM - 5:05PM, H 403 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2234, BL D-TUT, 13 Wk, Fr 2:15PM - 3:05PM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2235, BL E-TUT, 13 Wk, Th 5:45PM - 6:35PM, H 401 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2229, BL F-TUT, 13 Wk, Th 5:45PM - 6:35PM, H 403 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2228, BL G-TUT, 13 Wk, Tu 4:15PM - 5:05PM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2232, BL H-TUT, 13 Wk, Tu 4:15PM - 5:05PM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[7197, BL I-TUT, 13 Wk, Th 5:45PM - 6:35PM, H 423 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[7198, BL J-TUT, 13 Wk, Th 5:45PM - 6:35PM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[7403, BL K-TUT, 13 Wk, Mo 8:45AM - 9:35AM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2134, BL-LEC, 13 Wk, TBA, ONLINE, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2135, BL A-TUT, 13 Wk, Fr 8:45AM - 9:35AM, FG B055 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2136, BL B-TUT, 13 Wk, Fr 8:45AM - 9:35AM, FG B080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2137, BL C-TUT, 13 Wk, Tu 4:15PM - 5:05PM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2138, BL D-TUT, 13 Wk, Tu 4:15PM - 5:05PM, MB 2.430 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2139, BL E-TUT, 13 Wk, We 8:45AM - 9:35AM, FG B055 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2140, BL F-TUT, 13 Wk, We 8:45AM - 9:35AM, FG B080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2141, BL G-TUT, 13 Wk, Th 4:15PM - 5:05PM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2142, BL H-TUT, 13 Wk, Th 4:15PM - 5:05PM, FG B055 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5193, BL I-TUT, 13 Wk, Tu 4:15PM - 5:05PM, FG B070 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5194, BL J-TUT, 13 Wk, Th 4:15PM - 5:05PM, FG B080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[6975, BL K-TUT, 13 Wk, Mo 4:15PM - 5:05PM, FG B080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[6976, S-LEC, 13 Wk, Th 4:15PM - 5:30PM, MB S2.445 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[6977, S SA-TUT, 13 Wk, Tu 4:15PM - 5:05PM, MB S2.445 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1470, AA-LEC, 6.5 Wk 1, MoWe 11:45AM - 1:00PM, H 937 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[2237, G-LEC, 13 Wk, Fr 4:15PM - 5:30PM, H 110 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2236, H-LEC, 13 Wk, Th 4:15PM - 5:30PM, H 937 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2143, R-LEC, 13 Wk, Th 4:15PM - 5:30PM, H 110 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2144, SS-LEC, 13 Wk, We 5:45PM - 7:00PM, H 110 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1472, IE-LEC, 13 Wk, TBA, TBA, Staff, 05/06/2019 - 08/12/2019, Summer 2019]
[2238, IE-LEC, 13 Wk, TBA, TBA, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6003, IE-LEC, 13 Wk, TBA, TBA, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1475, AA-LEC, 6.5 Wk 1, TuTh 10:15AM - 12:45PM, FG C080 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1473, AAAE-TUT, 6.5 Wk 1, TuTh 8:30AM - 10:10AM, H 403 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1474, AAAF-TUT, 6.5 Wk 1, TuTh 8:30AM - 10:10AM, H 423 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3629, AAAG-TUT, 6.5 Wk 1, TuTh 8:30AM - 10:10AM, FG B055 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3630, AAAH-TUT, 6.5 Wk 1, TuTh 8:30AM - 10:10AM, FG B080 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[2248, P-LEC, 13 Wk, MoWe 11:45AM - 1:00PM, FG C070 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2249, P PA-TUT, 13 Wk, Fr 1:15PM - 2:55PM, FG B030 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2250, P PB-TUT, 13 Wk, Fr 1:15PM - 2:55PM, H 431 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2251, R-LEC, 13 Wk, WeFr 8:45AM - 10:00AM, FG C080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2252, R RA-TUT, 13 Wk, Mo 8:20AM - 10:00AM, H 433 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2253, R RB-TUT, 13 Wk, Mo 8:20AM - 10:00AM, H 431 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2254, T-LEC, 13 Wk, TuTh 10:15AM - 11:30AM, MB S2.210 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2255, T TA-TUT, 13 Wk, Mo 1:15PM - 2:55PM, MB S2.210 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2256, T TB-TUT, 13 Wk, Mo 1:15PM - 2:55PM, H 441 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2257, U-LEC, 13 Wk, WeFr 11:45AM - 1:00PM, H 535 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2258, U UA-TUT, 13 Wk, Fr 2:15PM - 3:55PM, H 420 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2259, U UB-TUT, 13 Wk, Mo 2:15PM - 3:55PM, H 607 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2239, V-LEC, 13 Wk, WeFr 8:45AM - 10:00AM, FG C070 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2240, V VA-TUT, 13 Wk, Fr 2:45PM - 5:30PM, H 561 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2241, V VB-TUT, 13 Wk, Mo 8:20AM - 10:00AM, FG B050 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2242, X-LEC, 13 Wk, TuTh 10:15AM - 11:30AM, H 535 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2243, X XA-TUT, 13 Wk, Fr 2:45PM - 5:30PM, H 557 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2244, X XB-TUT, 13 Wk, Fr 2:45PM - 5:30PM, H 553 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2245, XX-LEC, 13 Wk, Fr 5:45PM - 8:15PM, FG C070 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2246, XXXE-TUT, 13 Wk, Fr 3:45PM - 5:25PM, H 433 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2247, XXXF-TUT, 13 Wk, Fr 3:45PM - 5:25PM, H 431 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2148, F-LEC, 13 Wk, TuTh 2:45PM - 4:00PM, MB S2.210 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2147, F FA-TUT, 13 Wk, Mo 6:00PM - 7:40PM, H 433 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2153, F FB-TUT, 13 Wk, Fr 5:45PM - 7:25PM, FG B050 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2146, G-LEC, 13 Wk, TuTh 2:45PM - 4:00PM, FG C070 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2151, G GA-TUT, 13 Wk, Mo 4:10PM - 5:50PM, FG B030 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2145, G GB-TUT, 13 Wk, Fr 5:45PM - 7:25PM, H 431 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2150, J-LEC, 13 Wk, TuTh 2:45PM - 4:00PM, H 937 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2149, J JA-TUT, 13 Wk, Fr 3:45PM - 5:25PM, H 557 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2152, J JB-TUT, 13 Wk, Fr 3:45PM - 5:25PM, H 431 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5197, W-LEC, 13 Wk, WeFr 2:45PM - 4:00PM, H 435 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5202, W WA-TUT, 13 Wk, Fr 4:10PM - 5:50PM, H 433 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5203, W WB-TUT, 13 Wk, Mo 6:00PM - 7:40PM, FG B030 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1477, AA-LEC, 6.5 Wk 1, TuTh 11:45AM - 2:30PM, H 435 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1480, AAAD-TUT, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, H 623 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1476, AAAE-TUT, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, H 621 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1479, AAAF-TUT, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, H 544 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1478, AAAH-TUT, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, H 400-2 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4151, AB-LEC, 6.5 Wk 1, TuTh 11:45AM - 2:30PM, H 411 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4152, ABAD-TUT, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, H 564 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4153, ABAE-TUT, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, MB S2.465 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4154, ABAF-TUT, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, MB S2.105 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[2260, P-LEC, 13 Wk, TuTh 1:15PM - 2:30PM, H 110 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2261, P PA-TUT, 13 Wk, Mo 10:45AM - 12:25PM, H 509 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2262, P PB-TUT, 13 Wk, Mo 10:45AM - 12:25PM, FG B050 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2263, Q-LEC, 13 Wk, TuTh 1:15PM - 2:30PM, MB S2.210 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2264, Q QA-TUT, 13 Wk, Mo 10:45AM - 12:25PM, H 431 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2265, Q QB-TUT, 13 Wk, Fr 8:45AM - 10:25AM, H 509 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2157, J-LEC, 13 Wk, MoWe 4:15PM - 5:30PM, H 435 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2158, J JA-TUT, 13 Wk, Mo 5:45PM - 7:25PM, H 403 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2180, J JB-TUT, 13 Wk, Mo 7:40PM - 9:20PM, H 401 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2181, J JC-TUT, 13 Wk, Mo 1:15PM - 3:05PM, FG C080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2179, R-LEC, 13 Wk, TuTh 11:45AM - 1:00PM, MB S2.210 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2178, R RA-TUT, 13 Wk, Fr 2:15PM - 3:55PM, MB 5.255 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2177, R RB-TUT, 13 Wk, Fr 2:15PM - 3:55PM, MB 3.435 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2176, R RC-TUT, 13 Wk, Fr 2:15PM - 3:55PM, MB S1.401 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2159, S-LEC, 13 Wk, WeFr 8:45AM - 10:00AM, FG C080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2160, S SA-TUT, 13 Wk, Mo 8:20AM - 10:00AM, H 501 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2161, S SB-TUT, 13 Wk, We 1:15PM - 2:55PM, H 501 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2162, S SC-TUT, 13 Wk, Mo 8:20AM - 10:00AM, H 459 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2163, T-LEC, 13 Wk, WeFr 10:15AM - 11:30AM, H 521 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2164, T TA-TUT, 13 Wk, Th 9:45AM - 11:25AM, MB 6.425 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2165, T TB-TUT, 13 Wk, Th 9:45AM - 11:25AM, H 429 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2166, T TC-TUT, 13 Wk, Th 9:45AM - 11:25AM, H 523 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2167, U-LEC, 13 Wk, TuTh 8:45AM - 10:00AM, FG C070 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
